lee-lay	L IY0 L EY0
though-fay	DH OW0 F EY0
though-fah	DH OW0 F AA0
though-fo	DH OW0 F OW0
though-see	DH OW0 S IY0
though-say	DH OW0 S EY0
though-sah	DH OW0 S AA0
though-so	DH OW0 S OW0
though-shee	DH OW0 SH IY0
though-shay	DH OW0 SH EY0
though-shah	DH OW0 SH AA0
though-sho	DH OW0 SH OW0
though-bee	DH OW0 B IY0
though-bay	DH OW0 B EY0
though-bah	DH OW0 B AA0
though-bo	DH OW0 B OW0
though-dee	DH OW0 D IY0
though-day	DH OW0 D EY0
though-dah	DH OW0 D AA0
though-doe	DH OW0 D OW0
though-ghee	DH OW0 G IY0
though-gay	DH OW0 G EY0
though-gah	DH OW0 G AA0
though-go	DH OW0 G OW0
though-pee	DH OW0 P IY0
though-pay	DH OW0 P EY0
though-pah	DH OW0 P AA0
though-po	DH OW0 P OW0
though-tee	DH OW0 T IY0
though-tay	DH OW0 T EY0
though-tah	DH OW0 T AA0
though-toe	DH OW0 T OW0
though-kee	DH OW0 K IY0
though-kay	DH OW0 K EY0
though-kah	DH OW0 K AA0
though-ko	DH OW0 K OW0
zee-lee	Z IY0 L IY0
zee-lay	Z IY0 L EY0
zee-lah	Z IY0 L AA0
zee-lo	Z IY0 L OW0
zee-mee	Z IY0 M IY0
zee-may	Z IY0 M EY0
zee-mah	Z IY0 M AA0
zee-mo	Z IY0 M OW0
zee-nee	Z IY0 N IY0
zee-nay	Z IY0 N EY0
zee-nah	Z IY0 N AA0
zee-no	Z IY0 N OW0
zee-vee	Z IY0 V IY0
zee-vay	Z IY0 V EY0
zee-vah	Z IY0 V AA0
zee-vo	Z IY0 V OW0
zeethey	Z IY0 DH IY0
zee-they	Z IY0 DH EY0
zee-though	Z IY0 DH OW0
zee-zay	Z IY0 Z EY0
zee-zah	Z IY0 Z AA0
zee-zo	Z IY0 Z OW0
zee-fee	Z IY0 F IY0
zee-fay	Z IY0 F EY0
zee-fah	Z IY0 F AA0
zee-fo	Z IY0 F OW0
zee-see	Z IY0 S IY0
zee-say	Z IY0 S EY0
zee-sah	Z IY0 S AA0
zee-so	Z IY0 S OW0
zee-shee	Z IY0 SH IY0
zee-shay	Z IY0 SH EY0
zee-shah	Z IY0 SH AA0
zee-sho	Z IY0 SH OW0
zee-bee	Z IY0 B IY0
zee-bay	Z IY0 B EY0
zee-bah	Z IY0 B AA0
zee-bo	Z IY0 B OW0
zee-dee	Z IY0 D IY0
zee-day	Z IY0 D EY0
zee-dah	Z IY0 D AA0
zee-doe	Z IY0 D OW0
zee-ghee	Z IY0 G IY0
zee-gay	Z IY0 G EY0
zee-gah	Z IY0 G AA0
zee-go	Z IY0 G OW0
zee-pee	Z IY0 P IY0
zee-pay	Z IY0 P EY0
zee-pah	Z IY0 P AA0
zee-po	Z IY0 P OW0
zee-tee	Z IY0 T IY0
zee-tay	Z IY0 T EY0
zee-tah	Z IY0 T AA0
zee-kee	Z IY0 K IY0
zee-kay	Z IY0 K EY0
zee-kah	Z IY0 K AA0
zay-lay	Z EY0 L EY0
zay-lah	Z EY0 L AA0
zay-lo	Z EY0 L OW0
zay-mee	Z EY0 M IY0
zay-may	Z EY0 M EY0
zay-mah	Z EY0 M AA0
zay-mo	Z EY0 M OW0
zay-nay	Z EY0 N EY0
zay-nah	Z EY0 N AA0
zay-vee	Z EY0 V IY0
zay-vay	Z EY0 V EY0
zay-vah	Z EY0 V AA0
zay-vo	Z EY0 V OW0
zaythey	Z EY0 DH IY0
zay-they	Z EY0 DH EY0
zay-though	Z EY0 DH OW0
zay-zee	Z EY0 Z IY0
zay-zay	Z EY0 Z EY0
zay-zah	Z EY0 Z AA0
zay-zo	Z EY0 Z OW0
zay-fee	Z EY0 F IY0
zay-fay	Z EY0 F EY0
zay-fah	Z EY0 F AA0
zay-fo	Z EY0 F OW0
zay-see	Z EY0 S IY0
zay-say	Z EY0 S EY0
zay-sah	Z EY0 S AA0
zay-so	Z EY0 S OW0
zay-shee	Z EY0 SH IY0
zay-shay	Z EY0 SH EY0
zay-shah	Z EY0 SH AA0
zay-sho	Z EY0 SH OW0
zay-bee	Z EY0 B IY0
zay-bay	Z EY0 B EY0
zay-bah	Z EY0 B AA0
zay-bo	Z EY0 B OW0
zay-dee	Z EY0 D IY0
zay-day	Z EY0 D EY0
zay-dah	Z EY0 D AA0
zay-doe	Z EY0 D OW0
zay-ghee	Z EY0 G IY0
zay-gay	Z EY0 G EY0
zay-gah	Z EY0 G AA0
zay-go	Z EY0 G OW0
zay-pee	Z EY0 P IY0
zay-pay	Z EY0 P EY0
zay-pah	Z EY0 P AA0
zay-po	Z EY0 P OW0
zay-tee	Z EY0 T IY0
zay-tay	Z EY0 T EY0
zay-tah	Z EY0 T AA0
zay-toe	Z EY0 T OW0
zay-kee	Z EY0 K IY0
zay-kay	Z EY0 K EY0
zay-kah	Z EY0 K AA0
zay-ko	Z EY0 K OW0
zah-lee	Z AA0 L IY0
zah-lay	Z AA0 L EY0
zah-lah	Z AA0 L AA0
zah-mee	Z AA0 M IY0
zah-may	Z AA0 M EY0
zah-mah	Z AA0 M AA0
zah-mo	Z AA0 M OW0
zah-nay	Z AA0 N EY0
zah-nah	Z AA0 N AA0
zah-vee	Z AA0 V IY0
zah-vay	Z AA0 V EY0
zah-vah	Z AA0 V AA0
zah-vo	Z AA0 V OW0
zahthey	Z AA0 DH IY0
zah-they	Z AA0 DH EY0
zah-though	Z AA0 DH OW0
zah-zee	Z AA0 Z IY0
zah-zay	Z AA0 Z EY0
zah-zah	Z AA0 Z AA0
zah-zo	Z AA0 Z OW0
zah-fee	Z AA0 F IY0
zah-fay	Z AA0 F EY0
zah-fah	Z AA0 F AA0
zah-fo	Z AA0 F OW0
zah-see	Z AA0 S IY0
zah-say	Z AA0 S EY0
zah-sah	Z AA0 S AA0
zah-so	Z AA0 S OW0
zah-shee	Z AA0 SH IY0
zah-shay	Z AA0 SH EY0
zah-shah	Z AA0 SH AA0
zah-sho	Z AA0 SH OW0
zah-bee	Z AA0 B IY0
zah-bay	Z AA0 B EY0
zah-bah	Z AA0 B AA0
zah-bo	Z AA0 B OW0
zah-dee	Z AA0 D IY0
zah-day	Z AA0 D EY0
zah-dah	Z AA0 D AA0
zah-doe	Z AA0 D OW0
zah-ghee	Z AA0 G IY0
zah-gay	Z AA0 G EY0
zah-gah	Z AA0 G AA0
zah-go	Z AA0 G OW0
zah-pee	Z AA0 P IY0
zah-pay	Z AA0 P EY0
zah-pah	Z AA0 P AA0
zah-po	Z AA0 P OW0
zah-tee	Z AA0 T IY0
zah-tay	Z AA0 T EY0
zah-tah	Z AA0 T AA0
zah-toe	Z AA0 T OW0
zah-kay	Z AA0 K EY0
zah-kah	Z AA0 K AA0
zo-lee	Z OW0 L IY0
zo-lay	Z OW0 L EY0
zo-lah	Z OW0 L AA0
zo-lo	Z OW0 L OW0
zo-mee	Z OW0 M IY0
zo-may	Z OW0 M EY0
zo-mah	Z OW0 M AA0
zo-mo	Z OW0 M OW0
zo-nee	Z OW0 N IY0
zo-nay	Z OW0 N EY0
zo-nah	Z OW0 N AA0
zo-no	Z OW0 N OW0
zo-vee	Z OW0 V IY0
zo-vay	Z OW0 V EY0
zo-vah	Z OW0 V AA0
zo-vo	Z OW0 V OW0
zothey	Z OW0 DH IY0
zo-they	Z OW0 DH EY0
zo-though	Z OW0 DH OW0
zo-zee	Z OW0 Z IY0
zo-zay	Z OW0 Z EY0
zo-zah	Z OW0 Z AA0
zo-zo	Z OW0 Z OW0
zo-fee	Z OW0 F IY0
zo-fay	Z OW0 F EY0
zo-fah	Z OW0 F AA0
zo-fo	Z OW0 F OW0
zo-see	Z OW0 S IY0
zo-say	Z OW0 S EY0
zo-sah	Z OW0 S AA0
zo-so	Z OW0 S OW0
zo-shee	Z OW0 SH IY0
zo-shay	Z OW0 SH EY0
zo-shah	Z OW0 SH AA0
zo-sho	Z OW0 SH OW0
zo-bay	Z OW0 B EY0
zo-bah	Z OW0 B AA0
zo-bo	Z OW0 B OW0
zo-day	Z OW0 D EY0
zo-dah	Z OW0 D AA0
zo-doe	Z OW0 D OW0
zo-ghee	Z OW0 G IY0
zo-gay	Z OW0 G EY0
zo-gah	Z OW0 G AA0
zo-go	Z OW0 G OW0
zo-pee	Z OW0 P IY0
zo-pay	Z OW0 P EY0
zo-pah	Z OW0 P AA0
zo-po	Z OW0 P OW0
zo-tay	Z OW0 T EY0
zo-tah	Z OW0 T AA0
zo-toe	Z OW0 T OW0
zo-kee	Z OW0 K IY0
zo-kay	Z OW0 K EY0
zo-kah	Z OW0 K AA0
zo-ko	Z OW0 K OW0
fee-lay	F IY0 L EY0
fee-lah	F IY0 L AA0
fee-mee	F IY0 M IY0
fee-may	F IY0 M EY0
fee-mah	F IY0 M AA0
fee-mo	F IY0 M OW0
fee-nay	F IY0 N EY0
fee-nah	F IY0 N AA0
fee-vee	F IY0 V IY0
fee-vay	F IY0 V EY0
fee-vah	F IY0 V AA0
fee-vo	F IY0 V OW0
feethey	F IY0 DH IY0
fee-they	F IY0 DH EY0
fee-though	F IY0 DH OW0
fee-zee	F IY0 Z IY0
fee-zay	F IY0 Z EY0
fee-zah	F IY0 Z AA0
fee-zo	F IY0 Z OW0
fee-fay	F IY0 F EY0
fee-fah	F IY0 F AA0
fee-fo	F IY0 F OW0
fee-see	F IY0 S IY0
fee-say	F IY0 S EY0
fee-sah	F IY0 S AA0
fee-so	F IY0 S OW0
fee-shee	F IY0 SH IY0
fee-shay	F IY0 SH EY0
fee-shah	F IY0 SH AA0
fee-sho	F IY0 SH OW0
fee-bay	F IY0 B EY0
fee-bah	F IY0 B AA0
fee-bo	F IY0 B OW0
fee-dee	F IY0 D IY0
fee-day	F IY0 D EY0
fee-dah	F IY0 D AA0
fee-doe	F IY0 D OW0
fee-ghee	F IY0 G IY0
fee-gay	F IY0 G EY0
fee-gah	F IY0 G AA0
fee-go	F IY0 G OW0
fee-pee	F IY0 P IY0
fee-pay	F IY0 P EY0
fee-pah	F IY0 P AA0
fee-po	F IY0 P OW0
fee-tee	F IY0 T IY0
fee-tay	F IY0 T EY0
fee-tah	F IY0 T AA0
fee-toe	F IY0 T OW0
fee-kee	F IY0 K IY0
fee-kay	F IY0 K EY0
fee-kah	F IY0 K AA0
fay-lay	F EY0 L EY0
fay-lah	F EY0 L AA0
fay-lo	F EY0 L OW0
fay-mee	F EY0 M IY0
fay-may	F EY0 M EY0
fay-mah	F EY0 M AA0
fay-mo	F EY0 M OW0
fay-nee	F EY0 N IY0
fay-nay	F EY0 N EY0
fay-nah	F EY0 N AA0
fay-no	F EY0 N OW0
fay-vee	F EY0 V IY0
fay-vay	F EY0 V EY0
fay-vah	F EY0 V AA0
fay-vo	F EY0 V OW0
faythey	F EY0 DH IY0
fay-they	F EY0 DH EY0
fay-though	F EY0 DH OW0
fay-zee	F EY0 Z IY0
fay-zay	F EY0 Z EY0
fay-zah	F EY0 Z AA0
fay-zo	F EY0 Z OW0
fay-fee	F EY0 F IY0
fay-fay	F EY0 F EY0
fay-fah	F EY0 F AA0
fay-fo	F EY0 F OW0
fay-say	F EY0 S EY0
fay-sah	F EY0 S AA0
fay-so	F EY0 S OW0
fay-shee	F EY0 SH IY0
fay-shay	F EY0 SH EY0
fay-shah	F EY0 SH AA0
fay-sho	F EY0 SH OW0
fay-bee	F EY0 B IY0
fay-bay	F EY0 B EY0
fay-bah	F EY0 B AA0
fay-bo	F EY0 B OW0
fay-dee	F EY0 D IY0
fay-day	F EY0 D EY0
fay-dah	F EY0 D AA0
fay-doe	F EY0 D OW0
fay-ghee	F EY0 G IY0
fay-gay	F EY0 G EY0
fay-gah	F EY0 G AA0
fay-go	F EY0 G OW0
fay-pee	F EY0 P IY0
fay-pay	F EY0 P EY0
fay-pah	F EY0 P AA0
fay-po	F EY0 P OW0
fay-tee	F EY0 T IY0
fay-tay	F EY0 T EY0
fay-tah	F EY0 T AA0
fay-toe	F EY0 T OW0
fay-kee	F EY0 K IY0
fay-kay	F EY0 K EY0
fay-kah	F EY0 K AA0
fay-ko	F EY0 K OW0
fah-lay	F AA0 L EY0
fah-lah	F AA0 L AA0
fah-may	F AA0 M EY0
fah-mah	F AA0 M AA0
fah-mo	F AA0 M OW0
fah-nee	F AA0 N IY0
fah-nay	F AA0 N EY0
fah-nah	F AA0 N AA0
fah-no	F AA0 N OW0
fah-vee	F AA0 V IY0
fah-vay	F AA0 V EY0
fah-vah	F AA0 V AA0
fah-vo	F AA0 V OW0
fahthey	F AA0 DH IY0
fah-they	F AA0 DH EY0
fah-though	F AA0 DH OW0
fah-zee	F AA0 Z IY0
fah-zay	F AA0 Z EY0
fah-zah	F AA0 Z AA0
fah-zo	F AA0 Z OW0
fah-fee	F AA0 F IY0
fah-fay	F AA0 F EY0
fah-fah	F AA0 F AA0
fah-fo	F AA0 F OW0
fah-say	F AA0 S EY0
fah-sah	F AA0 S AA0
fah-shay	F AA0 SH EY0
fah-shah	F AA0 SH AA0
fah-sho	F AA0 SH OW0
fah-bee	F AA0 B IY0
fah-bay	F AA0 B EY0
fah-bah	F AA0 B AA0
fah-bo	F AA0 B OW0
fah-dee	F AA0 D IY0
fah-day	F AA0 D EY0
fah-dah	F AA0 D AA0
fah-doe	F AA0 D OW0
fah-gay	F AA0 G EY0
fah-gah	F AA0 G AA0
fah-go	F AA0 G OW0
fah-pee	F AA0 P IY0
fah-pay	F AA0 P EY0
fah-pah	F AA0 P AA0
fah-po	F AA0 P OW0
fah-tee	F AA0 T IY0
fah-tay	F AA0 T EY0
fah-tah	F AA0 T AA0
fah-toe	F AA0 T OW0
fah-kee	F AA0 K IY0
fah-kay	F AA0 K EY0
fah-kah	F AA0 K AA0
fah-ko	F AA0 K OW0
fo-lay	F OW0 L EY0
fo-lah	F OW0 L AA0
fo-lo	F OW0 L OW0
fo-may	F OW0 M EY0
fo-mah	F OW0 M AA0
fo-mo	F OW0 M OW0
fo-nay	F OW0 N EY0
fo-nah	F OW0 N AA0
fo-no	F OW0 N OW0
fo-vee	F OW0 V IY0
fo-vay	F OW0 V EY0
fo-vah	F OW0 V AA0
fo-vo	F OW0 V OW0
fothey	F OW0 DH IY0
fo-they	F OW0 DH EY0
fo-though	F OW0 DH OW0
fo-zee	F OW0 Z IY0
fo-zay	F OW0 Z EY0
fo-zah	F OW0 Z AA0
fo-zo	F OW0 Z OW0
fo-fee	F OW0 F IY0
fo-fay	F OW0 F EY0
fo-fah	F OW0 F AA0
fo-fo	F OW0 F OW0
fo-see	F OW0 S IY0
fo-say	F OW0 S EY0
fo-sah	F OW0 S AA0
fo-so	F OW0 S OW0
fo-shee	F OW0 SH IY0
fo-shay	F OW0 SH EY0
fo-shah	F OW0 SH AA0
fo-bee	F OW0 B IY0
fo-bay	F OW0 B EY0
fo-bah	F OW0 B AA0
fo-bo	F OW0 B OW0
fo-dee	F OW0 D IY0
fo-day	F OW0 D EY0
fo-dah	F OW0 D AA0
fo-doe	F OW0 D OW0
fo-gay	F OW0 G EY0
fo-gah	F OW0 G AA0
fo-go	F OW0 G OW0
fo-pee	F OW0 P IY0
fo-pay	F OW0 P EY0
fo-pah	F OW0 P AA0
fo-po	F OW0 P OW0
fo-tay	F OW0 T EY0
fo-tah	F OW0 T AA0
fo-kee	F OW0 K IY0
fo-kay	F OW0 K EY0
fo-kah	F OW0 K AA0
fo-ko	F OW0 K OW0
see-lay	S IY0 L EY0
see-lah	S IY0 L AA0
see-lo	S IY0 L OW0
see-may	S IY0 M EY0
see-nee	S IY0 N IY0
see-nay	S IY0 N EY0
see-nah	S IY0 N AA0
see-no	S IY0 N OW0
see-vay	S IY0 V EY0
see-vah	S IY0 V AA0
see-vo	S IY0 V OW0
seethey	S IY0 DH IY0
see-they	S IY0 DH EY0
see-though	S IY0 DH OW0
see-zee	S IY0 Z IY0
see-zay	S IY0 Z EY0
see-zah	S IY0 Z AA0
see-zo	S IY0 Z OW0
see-fee	S IY0 F IY0
see-fay	S IY0 F EY0
see-fah	S IY0 F AA0
see-fo	S IY0 F OW0
see-say	S IY0 S EY0
see-sah	S IY0 S AA0
see-so	S IY0 S OW0
see-shee	S IY0 SH IY0
see-shay	S IY0 SH EY0
see-shah	S IY0 SH AA0
see-sho	S IY0 SH OW0
see-bay	S IY0 B EY0
see-bah	S IY0 B AA0
see-bo	S IY0 B OW0
see-day	S IY0 D EY0
see-dah	S IY0 D AA0
see-doe	S IY0 D OW0
see-ghee	S IY0 G IY0
see-gay	S IY0 G EY0
see-go	S IY0 G OW0
see-pee	S IY0 P IY0
see-pay	S IY0 P EY0
see-pah	S IY0 P AA0
see-po	S IY0 P OW0
see-tee	S IY0 T IY0
see-tay	S IY0 T EY0
see-tah	S IY0 T AA0
see-kee	S IY0 K IY0
see-kay	S IY0 K EY0
see-kah	S IY0 K AA0
say-lee	S EY0 L IY0
say-lay	S EY0 L EY0
say-lah	S EY0 L AA0
say-lo	S EY0 L OW0
say-may	S EY0 M EY0
say-mah	S EY0 M AA0
say-mo	S EY0 M OW0
say-nee	S EY0 N IY0
say-nay	S EY0 N EY0
say-nah	S EY0 N AA0
say-no	S EY0 N OW0
say-vee	S EY0 V IY0
say-vay	S EY0 V EY0
say-vah	S EY0 V AA0
say-vo	S EY0 V OW0
saythey	S EY0 DH IY0
say-they	S EY0 DH EY0
say-though	S EY0 DH OW0
say-zee	S EY0 Z IY0
say-zay	S EY0 Z EY0
say-zah	S EY0 Z AA0
say-zo	S EY0 Z OW0
say-fee	S EY0 F IY0
say-fay	S EY0 F EY0
say-fah	S EY0 F AA0
say-fo	S EY0 F OW0
say-see	S EY0 S IY0
say-say	S EY0 S EY0
say-sah	S EY0 S AA0
say-so	S EY0 S OW0
say-shee	S EY0 SH IY0
say-shay	S EY0 SH EY0
say-shah	S EY0 SH AA0
say-sho	S EY0 SH OW0
say-bay	S EY0 B EY0
say-bah	S EY0 B AA0
say-bo	S EY0 B OW0
say-dee	S EY0 D IY0
say-day	S EY0 D EY0
say-dah	S EY0 D AA0
say-ghee	S EY0 G IY0
say-gay	S EY0 G EY0
say-gah	S EY0 G AA0
say-pee	S EY0 P IY0
say-pay	S EY0 P EY0
say-pah	S EY0 P AA0
say-po	S EY0 P OW0
say-tee	S EY0 T IY0
say-tay	S EY0 T EY0
say-tah	S EY0 T AA0
say-toe	S EY0 T OW0
say-kay	S EY0 K EY0
say-kah	S EY0 K AA0
sah-lay	S AA0 L EY0
sah-lah	S AA0 L AA0
sah-mee	S AA0 M IY0
sah-may	S AA0 M EY0
sah-mah	S AA0 M AA0
sah-mo	S AA0 M OW0
sah-nay	S AA0 N EY0
sah-nah	S AA0 N AA0
sah-vee	S AA0 V IY0
sah-vay	S AA0 V EY0
sah-vah	S AA0 V AA0
sahthey	S AA0 DH IY0
sah-they	S AA0 DH EY0
sah-though	S AA0 DH OW0
sah-zee	S AA0 Z IY0
sah-zay	S AA0 Z EY0
sah-zah	S AA0 Z AA0
sah-zo	S AA0 Z OW0
sah-fay	S AA0 F EY0
sah-fah	S AA0 F AA0
sah-fo	S AA0 F OW0
sah-see	S AA0 S IY0
sah-say	S AA0 S EY0
sah-sah	S AA0 S AA0
sah-so	S AA0 S OW0
sah-shee	S AA0 SH IY0
sah-shay	S AA0 SH EY0
sah-shah	S AA0 SH AA0
sah-sho	S AA0 SH OW0
sah-bee	S AA0 B IY0
sah-bay	S AA0 B EY0
sah-bah	S AA0 B AA0
sah-dee	S AA0 D IY0
sah-day	S AA0 D EY0
sah-dah	S AA0 D AA0
sah-doe	S AA0 D OW0
sah-gay	S AA0 G EY0
sah-gah	S AA0 G AA0
sah-go	S AA0 G OW0
sah-pee	S AA0 P IY0
sah-pay	S AA0 P EY0
sah-pah	S AA0 P AA0
sah-po	S AA0 P OW0
sah-tee	S AA0 T IY0
sah-tay	S AA0 T EY0
sah-tah	S AA0 T AA0
sah-kay	S AA0 K EY0
sah-kah	S AA0 K AA0
so-lay	S OW0 L EY0
so-lah	S OW0 L AA0
so-lo	S OW0 L OW0
so-mee	S OW0 M IY0
so-may	S OW0 M EY0
so-mo	S OW0 M OW0
so-nay	S OW0 N EY0
so-nah	S OW0 N AA0
so-no	S OW0 N OW0
so-vay	S OW0 V EY0
so-vah	S OW0 V AA0
so-vo	S OW0 V OW0
sothey	S OW0 DH IY0
so-they	S OW0 DH EY0
so-though	S OW0 DH OW0
so-zee	S OW0 Z IY0
so-zay	S OW0 Z EY0
so-zah	S OW0 Z AA0
so-zo	S OW0 Z OW0
so-fay	S OW0 F EY0
so-fah	S OW0 F AA0
so-fo	S OW0 F OW0
so-say	S OW0 S EY0
so-sah	S OW0 S AA0
so-shee	S OW0 SH IY0
so-shah	S OW0 SH AA0
so-sho	S OW0 SH OW0
so-bay	S OW0 B EY0
so-bah	S OW0 B AA0
so-bo	S OW0 B OW0
so-day	S OW0 D EY0
so-dah	S OW0 D AA0
so-doe	S OW0 D OW0
so-ghee	S OW0 G IY0
so-gay	S OW0 G EY0
so-gah	S OW0 G AA0
so-pay	S OW0 P EY0
so-pah	S OW0 P AA0
so-po	S OW0 P OW0
so-tee	S OW0 T IY0
so-tay	S OW0 T EY0
so-tah	S OW0 T AA0
so-kay	S OW0 K EY0
so-kah	S OW0 K AA0
so-ko	S OW0 K OW0
shee-lay	SH IY0 L EY0
shee-lah	SH IY0 L AA0
shee-lo	SH IY0 L OW0
shee-may	SH IY0 M EY0
shee-mah	SH IY0 M AA0
shee-mo	SH IY0 M OW0
shee-nay	SH IY0 N EY0
shee-nah	SH IY0 N AA0
shee-no	SH IY0 N OW0
shee-vee	SH IY0 V IY0
shee-vay	SH IY0 V EY0
shee-vah	SH IY0 V AA0
shee-vo	SH IY0 V OW0
sheethey	SH IY0 DH IY0
shee-they	SH IY0 DH EY0
shee-though	SH IY0 DH OW0
shee-zee	SH IY0 Z IY0
shee-zay	SH IY0 Z EY0
shee-zah	SH IY0 Z AA0
shee-zo	SH IY0 Z OW0
shee-fee	SH IY0 F IY0
shee-fay	SH IY0 F EY0
shee-fah	SH IY0 F AA0
shee-fo	SH IY0 F OW0
shee-see	SH IY0 S IY0
shee-say	SH IY0 S EY0
shee-sah	SH IY0 S AA0
shee-so	SH IY0 S OW0
shee-shay	SH IY0 SH EY0
shee-shah	SH IY0 SH AA0
shee-sho	SH IY0 SH OW0
shee-bee	SH IY0 B IY0
shee-bay	SH IY0 B EY0
shee-bah	SH IY0 B AA0
shee-bo	SH IY0 B OW0
shee-day	SH IY0 D EY0
shee-dah	SH IY0 D AA0
shee-doe	SH IY0 D OW0
shee-ghee	SH IY0 G IY0
shee-gay	SH IY0 G EY0
shee-gah	SH IY0 G AA0
shee-go	SH IY0 G OW0
shee-pay	SH IY0 P EY0
shee-pah	SH IY0 P AA0
shee-po	SH IY0 P OW0
shee-tee	SH IY0 T IY0
shee-tay	SH IY0 T EY0
shee-tah	SH IY0 T AA0
shee-kee	SH IY0 K IY0
shee-kay	SH IY0 K EY0
shee-kah	SH IY0 K AA0
shee-ko	SH IY0 K OW0
shay-lay	SH EY0 L EY0
shay-lah	SH EY0 L AA0
shay-lo	SH EY0 L OW0
shay-mee	SH EY0 M IY0
shay-may	SH EY0 M EY0
shay-mah	SH EY0 M AA0
shay-mo	SH EY0 M OW0
shay-nee	SH EY0 N IY0
shay-nay	SH EY0 N EY0
shay-nah	SH EY0 N AA0
shay-no	SH EY0 N OW0
shay-vee	SH EY0 V IY0
shay-vay	SH EY0 V EY0
shay-vah	SH EY0 V AA0
shay-vo	SH EY0 V OW0
shaythey	SH EY0 DH IY0
shay-they	SH EY0 DH EY0
shay-though	SH EY0 DH OW0
shay-zee	SH EY0 Z IY0
shay-zay	SH EY0 Z EY0
shay-zah	SH EY0 Z AA0
shay-zo	SH EY0 Z OW0
shay-fee	SH EY0 F IY0
shay-fay	SH EY0 F EY0
shay-fah	SH EY0 F AA0
shay-fo	SH EY0 F OW0
shay-see	SH EY0 S IY0
shay-say	SH EY0 S EY0
shay-sah	SH EY0 S AA0
shay-so	SH EY0 S OW0
shay-shee	SH EY0 SH IY0
shay-shay	SH EY0 SH EY0
shay-shah	SH EY0 SH AA0
shay-sho	SH EY0 SH OW0
shay-bee	SH EY0 B IY0
shay-bay	SH EY0 B EY0
shay-bah	SH EY0 B AA0
shay-bo	SH EY0 B OW0
shay-day	SH EY0 D EY0
shay-dah	SH EY0 D AA0
shay-doe	SH EY0 D OW0
shay-ghee	SH EY0 G IY0
shay-gay	SH EY0 G EY0
shay-gah	SH EY0 G AA0
shay-go	SH EY0 G OW0
shay-pee	SH EY0 P IY0
shay-pay	SH EY0 P EY0
shay-pah	SH EY0 P AA0
shay-po	SH EY0 P OW0
shay-tee	SH EY0 T IY0
shay-tay	SH EY0 T EY0
shay-tah	SH EY0 T AA0
shay-toe	SH EY0 T OW0
shay-kay	SH EY0 K EY0
shay-kah	SH EY0 K AA0
shay-ko	SH EY0 K OW0
shah-lay	SH AA0 L EY0
shah-lah	SH AA0 L AA0
shah-lo	SH AA0 L OW0
shah-mee	SH AA0 M IY0
shah-may	SH AA0 M EY0
shah-mah	SH AA0 M AA0
shah-mo	SH AA0 M OW0
shah-nee	SH AA0 N IY0
shah-nay	SH AA0 N EY0
shah-nah	SH AA0 N AA0
shah-no	SH AA0 N OW0
shah-vee	SH AA0 V IY0
shah-vay	SH AA0 V EY0
shah-vah	SH AA0 V AA0
shah-vo	SH AA0 V OW0
shahthey	SH AA0 DH IY0
shah-they	SH AA0 DH EY0
shah-though	SH AA0 DH OW0
shah-zee	SH AA0 Z IY0
shah-zay	SH AA0 Z EY0
shah-zah	SH AA0 Z AA0
shah-zo	SH AA0 Z OW0
shah-fee	SH AA0 F IY0
shah-fay	SH AA0 F EY0
shah-fah	SH AA0 F AA0
shah-fo	SH AA0 F OW0
shah-see	SH AA0 S IY0
shah-say	SH AA0 S EY0
shah-sah	SH AA0 S AA0
shah-so	SH AA0 S OW0
shah-shee	SH AA0 SH IY0
shah-shay	SH AA0 SH EY0
shah-shah	SH AA0 SH AA0
shah-sho	SH AA0 SH OW0
shah-bee	SH AA0 B IY0
shah-bay	SH AA0 B EY0
shah-bah	SH AA0 B AA0
shah-day	SH AA0 D EY0
shah-dah	SH AA0 D AA0
shah-doe	SH AA0 D OW0
shah-ghee	SH AA0 G IY0
shah-gay	SH AA0 G EY0
shah-gah	SH AA0 G AA0
shah-go	SH AA0 G OW0
shah-pay	SH AA0 P EY0
shah-pah	SH AA0 P AA0
shah-po	SH AA0 P OW0
shah-tee	SH AA0 T IY0
shah-tay	SH AA0 T EY0
shah-tah	SH AA0 T AA0
shah-toe	SH AA0 T OW0
shah-kay	SH AA0 K EY0
shah-kah	SH AA0 K AA0
shah-ko	SH AA0 K OW0
sho-lay	SH OW0 L EY0
sho-lah	SH OW0 L AA0
sho-lo	SH OW0 L OW0
sho-mee	SH OW0 M IY0
sho-may	SH OW0 M EY0
sho-mah	SH OW0 M AA0
sho-nay	SH OW0 N EY0
sho-nah	SH OW0 N AA0
sho-no	SH OW0 N OW0
sho-vee	SH OW0 V IY0
sho-vay	SH OW0 V EY0
sho-vah	SH OW0 V AA0
sho-vo	SH OW0 V OW0
shothey	SH OW0 DH IY0
sho-they	SH OW0 DH EY0
sho-though	SH OW0 DH OW0
sho-zee	SH OW0 Z IY0
sho-zay	SH OW0 Z EY0
sho-zah	SH OW0 Z AA0
sho-zo	SH OW0 Z OW0
sho-fee	SH OW0 F IY0
sho-fay	SH OW0 F EY0
sho-fah	SH OW0 F AA0
sho-fo	SH OW0 F OW0
sho-see	SH OW0 S IY0
sho-say	SH OW0 S EY0
sho-sah	SH OW0 S AA0
sho-so	SH OW0 S OW0
sho-shee	SH OW0 SH IY0
sho-shay	SH OW0 SH EY0
