index,ipa,alphabet
1157,ʃiɡow,sheegow
1158,ʃipej,sheepaye
1159,ʃipow,sheepow
1160,ʃitej,sheetaye
1161,ʃiki,sheekee
1162,ʃikej,sheekaye
1163,ʃikow,sheeko
1164,ʃejli,shaylee
1165,ʃejlej,shaylaye
1166,ʃejlow,shaylow
1167,ʃejmi,shaymee
1168,ʃejmej,shaymaye
1169,ʃejmow,shaymow
1170,ʃejni,shaynee
1171,ʃejnej,shaynaye
1172,ʃejnow,shaynow
1173,ʃejvi,shayvee
1174,ʃejvej,shayvaye
1175,ʃejvow,shayvow
1176,ʃejði,shaythey
1177,ʃejðej,shay-they
1178,ʃejðow,shay-though
1179,ʃejzi,shayzee
1180,ʃejzej,shayzaye
1181,ʃejzow,shayzow
1182,ʃejfi,shayfee
1183,ʃejfej,shayfaye
1184,ʃejfow,shayfow
1185,ʃejsi,shaysee
1186,ʃejsej,shaysaye
1187,ʃejsow,shaysow
1188,ʃejʃi,shayshee
1189,ʃejʃej,shayshaye
1190,ʃejʃow,shayshow
1191,ʃejbi,shaybee
1192,ʃejbej,shaybaye
1193,ʃejbow,shaybow
1194,ʃejdi,shaydee
1195,ʃejdej,shaydaye
1196,ʃejdow,shaydow
1197,ʃejɡi,shayggee
1198,ʃejɡej,shaygaye
1199,ʃejɡow,shaygow
1200,ʃejpi,shaypee
1201,ʃejpej,shaypaye
1202,ʃejpow,shaypow
1203,ʃejti,shaytee
1204,ʃejtej,shaytaye
1205,ʃejtow,shaytow
1206,ʃejki,shaykee
1207,ʃejkej,shaykaye
1208,ʃejkow,shayko
1209,ʃɑli,shahlee
1210,ʃɑlej,shahlaye
1211,ʃɑlow,shahlow
1212,ʃɑmi,shahmee
1213,ʃɑmej,shahmaye
1214,ʃɑmow,shahmow
1215,ʃɑni,shahnee
1216,ʃɑnej,shahnaye
1217,ʃɑnow,shahnow
1218,ʃɑvi,shahvee
1219,ʃɑvej,shahvaye
1220,ʃɑvow,shahvow
1221,ʃɑði,shahthey
1222,ʃɑðej,shah-they
1223,ʃɑðow,shah-though
1224,ʃɑzi,shahzee
1225,ʃɑzej,shahzaye
1226,ʃɑzow,shahzow
1227,ʃɑfi,shahfee
1228,ʃɑfej,shahfaye
1229,ʃɑfow,shahfow
1230,ʃɑsi,shahsee
1231,ʃɑsej,shahsaye
1232,ʃɑsow,shahsow
1233,ʃɑʃi,shahshee
1234,ʃɑʃej,shahshaye
1235,ʃɑʃow,shahshow
1236,ʃɑbi,shahbee
1237,ʃɑbej,shahbaye
1238,ʃɑdej,shahdaye
1239,ʃɑdow,shahdow
1240,ʃɑɡi,shahggee
1241,ʃɑɡej,shahgaye
1242,ʃɑɡow,shahgow
1243,ʃɑpi,shahpee
1244,ʃɑpej,shahpaye
1245,ʃɑpow,shahpow
1246,ʃɑti,shahtee
1247,ʃɑtej,shahtaye
1248,ʃɑtow,shahtow
1249,ʃɑkej,shahkaye
1250,ʃɑkow,shahko
1251,ʃowli,shoelee
1252,ʃowlej,shoelaye
1253,ʃowlow,shoelow
1254,ʃowmi,shoemee
1255,ʃowmej,shoemaye
1256,ʃownej,shoanaye
1257,ʃownow,shoanow
1258,ʃowvi,shoevee
1259,ʃowvej,shoevaye
1260,ʃowvow,shoevow
1261,ʃowði,shoethey
1262,ʃowðej,shoe-they
1263,ʃowðow,shoe-though
1264,ʃowzi,shoezee
1265,ʃowzej,shoezaye
1266,ʃowzow,shoezow
1267,ʃowfi,shoefee
1268,ʃowfej,shoefaye
1269,ʃowfow,shoefow
1270,ʃowsi,shoesee
1271,ʃowsej,shoesaye
1272,ʃowsow,shoesow
1273,ʃowʃi,shoeshee
1274,ʃowʃej,shoeshaye
1275,ʃowʃow,shoeshow
1276,ʃowbi,shoebee
1277,ʃowbej,shoebaye
1278,ʃowbow,shoebow
1279,ʃowdi,shoedee
1280,ʃowdej,shoedaye
1281,ʃowdow,shoedow
1282,ʃowɡi,shoeggee
1283,ʃowɡej,shoegaye
1284,ʃowɡow,shoegow
1285,ʃowpi,shoepee
1286,ʃowpej,shoepaye
1287,ʃowpow,shoepow
1288,ʃowti,shoetee
1289,ʃowtej,shoetaye
1290,ʃowtow,shoetow
1291,ʃowki,shoekee
1292,ʃowkej,shoekaye
1293,bili,beelee
1294,bilej,beelaye
1295,bilow,beelow
1296,bimi,beemee
1297,bimej,beemaye
1298,bimow,beemow
1299,binej,beenaye
1300,bivi,beevee
1301,bivej,beevaye
1302,bivow,beevow
1303,biði,beethey
1304,biðej,bee-they
1305,biðow,bee-though
1306,bizej,beezaye
1307,bizow,beezow
1308,bifej,beefaye
1309,bifow,beefow
1310,bisej,beesaye
1311,biʃi,beeshee
1312,biʃej,beeshaye
1313,biʃow,beeshow
1314,bibej,beebaye
1315,bidej,beedaye
1316,bidow,beedow
1317,biɡej,beegaye
1318,biɡow,beegow
1319,bipej,beepaye
1320,bipow,beepow
1321,bitej,beetaye
1322,bitow,beetow
1323,biki,beekee
1324,bikej,beekaye
1325,bejli,baylee
1326,bejlej,baylaye
1327,bejlow,baylow
1328,bejmi,baymee
1329,bejmej,baymaye
1330,bejmow,baymow
1331,bejni,baynee
1332,bejnej,baynaye
1333,bejnow,baynow
1334,bejvi,bayvee
1335,bejvej,bayvaye
1336,bejvow,bayvow
1337,bejði,baythey
1338,bejðej,bay-they
1339,bejðow,bay-though
1340,bejzi,bayzee
1341,bejzej,bayzaye
1342,bejzow,bayzow
1343,bejfi,bayfee
1344,bejfej,bayfaye
1345,bejfow,bayfow
1346,bejsi,baysee
1347,bejsej,baysaye
1348,bejsow,baysow
1349,bejʃi,bayshee
1350,bejʃej,bayshaye
1351,bejʃow,bayshow
1352,bejbi,baybee
1353,bejbej,baybaye
1354,bejbow,baybow
1355,bejdi,baydee
1356,bejdej,baydaye
1357,bejdow,baydow
1358,bejɡi,bayggee
1359,bejɡej,baygaye
1360,bejɡow,baygow
1361,bejpi,baypee
1362,bejpej,baypaye
1363,bejpow,baypow
1364,bejti,baytee
1365,bejtej,baytaye
1366,bejtow,baytow
1367,bejki,baykee
1368,bejkej,baykaye
1369,bejkow,bayko
1370,bɑli,bahlee
1371,bɑlej,bahlaye
1372,bɑlow,bahlow
1373,bɑmej,bahmaye
1374,bɑmow,bahmow
1375,bɑnej,bahnaye
1376,bɑnow,bahnow
1377,bɑvi,bahvee
1378,bɑvej,bahvaye
1379,bɑvow,bahvow
1380,bɑði,bahthey
1381,bɑðej,bah-they
1382,bɑðow,bah-though
1383,bɑzej,bahzaye
1384,bɑfi,bahfee
1385,bɑfej,bahfaye
1386,bɑfow,bahfow
1387,bɑsej,bahsaye
1388,bɑsow,bahsow
1389,bɑʃi,bahshee
1390,bɑʃej,bahshaye
1391,bɑʃow,bahshow
1392,bɑbej,bahbaye
1393,bɑdej,bahdaye
1394,bɑdow,bahdow
1395,bɑɡi,bahggee
1396,bɑɡej,bahgaye
1397,bɑɡow,bahgow
1398,bɑpi,bahpee
1399,bɑpej,bahpaye
1400,bɑpow,bahpow
1401,bɑtej,bahtaye
1402,bɑtow,bahtow
1403,bɑki,bahkee
1404,bɑkej,bahkaye
1405,bɑkow,bahko
1406,bowli,boelee
1407,bowlej,boelaye
1408,bowlow,boelow
1409,bowmi,boemee
1410,bowmej,boemaye
1411,bowmow,boemow
1412,bownej,boanaye
1413,bowvej,boevaye
1414,bowvow,boevow
1415,bowði,boethey
1416,bowðej,boe-they
1417,bowðow,boe-though
1418,bowzi,boezee
1419,bowzej,boezaye
1420,bowfi,boefee
1421,bowfej,boefaye
1422,bowfow,boefow
1423,bowsej,boesaye
1424,bowʃi,boeshee
1425,bowʃej,boeshaye
1426,bowʃow,boeshow
1427,bowbi,boebee
1428,bowbej,boebaye
1429,bowdej,boedaye
1430,bowɡej,boegaye
1431,bowɡow,boegow
1432,bowpi,boepee
1433,bowpej,boepaye
1434,bowpow,boepow
1435,bowti,boetee
1436,bowtej,boetaye
1437,bowtow,boetow
1438,bowki,boekee
1439,bowkej,boekaye
1440,bowkow,boeko
1441,dili,deelee
1442,dilej,deelaye
1443,dilow,deelow
1444,dimi,deemee
1445,dimej,deemaye
1446,dimow,deemow
1447,dinej,deenaye
1448,divej,deevaye
1449,diði,deethey
1450,diðej,dee-they
1451,diðow,dee-though
1452,dizej,deezaye
1453,dizow,deezow
1454,difej,deefaye
1455,disej,deesaye
1456,disow,deesow
1457,diʃi,deeshee
1458,diʃej,deeshaye
1459,diʃow,deeshow
1460,dibi,deebee
1461,dibej,deebaye
1462,didej,deedaye
1463,diɡi,deeggee
1464,diɡej,deegaye
1465,diɡow,deegow
1466,dipej,deepaye
1467,ditej,deetaye
1468,dikej,deekaye
1469,dikow,deeko
1470,dejli,daylee
1471,dejlej,daylaye
1472,dejlow,daylow
1473,dejmi,daymee
1474,dejmej,daymaye
1475,dejmow,daymow
1476,dejni,daynee
1477,dejnej,daynaye
1478,dejnow,daynow
1479,dejvi,dayvee
1480,dejvej,dayvaye
1481,dejvow,dayvow
1482,dejði,daythey
1483,dejðej,day-they
1484,dejðow,day-though
1485,dejzi,dayzee
1486,dejzej,dayzaye
1487,dejzow,dayzow
1488,dejfi,dayfee
1489,dejfej,dayfaye
1490,dejfow,dayfow
1491,dejsi,daysee
1492,dejsej,daysaye
1493,dejsow,daysow
1494,dejʃi,dayshee
1495,dejʃej,dayshaye
1496,dejʃow,dayshow
1497,dejbi,daybee
1498,dejbej,daybaye
1499,dejbow,daybow
1500,dejdi,daydee
1501,dejdej,daydaye
1502,dejdow,daydow
1503,dejɡi,dayggee
1504,dejɡej,daygaye
1505,dejɡow,daygow
1506,dejpi,daypee
1507,dejpej,daypaye
1508,dejpow,daypow
1509,dejti,daytee
1510,dejtej,daytaye
1511,dejtow,daytow
1512,dejki,daykee
1513,dejkej,daykaye
1514,dejkow,dayko
1515,dɑli,dahlee
1516,dɑlej,dahlaye
1517,dɑlow,dahlow
1518,dɑmej,dahmaye
1519,dɑmow,dahmow
1520,dɑnej,dahnaye
1521,dɑvej,dahvaye
1522,dɑvow,dahvow
1523,dɑði,dahthey
1524,dɑðej,dah-they
1525,dɑðow,dah-though
1526,dɑzi,dahzee
1527,dɑzej,dahzaye
1528,dɑzow,dahzow
1529,dɑfi,dahfee
1530,dɑfej,dahfaye
1531,dɑfow,dahfow
1532,dɑsej,dahsaye
1533,dɑsow,dahsow
1534,dɑʃi,dahshee
1535,dɑʃej,dahshaye
1536,dɑʃow,dahshow
1537,dɑbej,dahbaye
1538,dɑbow,dahbow
1539,dɑdi,dahdee
1540,dɑdej,dahdaye
1541,dɑdow,dahdow
1542,dɑɡi,dahggee
1543,dɑɡej,dahgaye
1544,dɑɡow,dahgow
1545,dɑpi,dahpee
1546,dɑpej,dahpaye
1547,dɑpow,dahpow
1548,dɑtej,dahtaye
1549,dɑkej,dahkaye
1550,dɑkow,dahko
1551,dowli,doughlee
1552,dowlej,doughlaye
1553,dowlow,doughlow
1554,dowmi,doughmee
1555,dowmej,doughmaye
1556,dowmow,doughmow
1557,downi,doughnee
1558,downej,doughnaye
1559,downow,doughnow
1560,dowvi,doughvee
1561,dowvej,doughvaye
1562,dowvow,doughvow
1563,dowði,doughthey
1564,dowðej,dough-they
1565,dowðow,dough-though
1566,dowzi,doughzee
1567,dowzej,doughzaye
1568,dowzow,doughzow
1569,dowfi,doughfee
1570,dowfej,doughfaye
1571,dowfow,doughfow
1572,dowsi,doughsee
1573,dowsej,doughsaye
1574,dowsow,doughsow
1575,dowʃej,doughshaye
1576,dowʃow,doughshow
1577,dowbej,doughbaye
1578,dowbow,doughbow
1579,dowdej,doughdaye
1580,dowɡi,doughggee
1581,dowɡej,doughgaye
1582,dowɡow,doughgow
1583,dowpej,doughpaye
1584,dowpow,doughpow
1585,dowtej,doughtaye
1586,dowkej,doughkaye
1587,dowkow,doughko
1588,ɡili,gheelee
1589,ɡilej,gheelaye
1590,ɡilow,gheelow
1591,ɡimej,gheemaye
1592,ɡimow,gheemow
1593,ɡinej,gheenaye
1594,ɡinow,gheenow
1595,ɡivi,gheevee
1596,ɡivej,gheevaye
1597,ɡivow,gheevow
1598,ɡiði,gheethey
1599,ɡiðej,ghee-they
1600,ɡiðow,ghee-though
1601,ɡizi,gheezee
1602,ɡizej,gheezaye
1603,ɡizow,gheezow
1604,ɡifej,gheefaye
1605,ɡifow,gheefow
1606,ɡisej,gheesaye
1607,ɡisow,gheesow
1608,ɡiʃi,gheeshee
1609,ɡiʃej,gheeshaye
1610,ɡiʃow,gheeshow
1611,ɡibi,gheebee
1612,ɡibej,gheebaye
1613,ɡibow,gheebow
1614,ɡidej,gheedaye
1615,ɡidow,gheedow
1616,ɡiɡi,gheeggee
1617,ɡiɡej,gheegaye
1618,ɡiɡow,gheegow
1619,ɡipi,gheepee
1620,ɡipej,gheepaye
1621,ɡipow,gheepow
1622,ɡiti,gheetee
1623,ɡitej,gheetaye
1624,ɡitow,gheetow
1625,ɡikej,gheekaye
1626,ɡikow,gheeko
1627,ɡejli,gaylee
1628,ɡejlej,gaylaye
1629,ɡejlow,gaylow
1630,ɡejmi,gaymee
1631,ɡejmej,gaymaye
1632,ɡejmow,gaymow
1633,ɡejni,gaynee
1634,ɡejnej,gaynaye
1635,ɡejnow,gaynow
1636,ɡejvi,gayvee
1637,ɡejvej,gayvaye
1638,ɡejvow,gayvow
1639,ɡejði,gaythey
1640,ɡejðej,gay-they
1641,ɡejðow,gay-though
1642,ɡejzi,gayzee
1643,ɡejzej,gayzaye
1644,ɡejzow,gayzow
1645,ɡejfi,gayfee
1646,ɡejfej,gayfaye
1647,ɡejfow,gayfow
1648,ɡejsi,gaysee
1649,ɡejsej,gaysaye
1650,ɡejsow,gaysow
1651,ɡejʃi,gayshee
1652,ɡejʃej,gayshaye
1653,ɡejʃow,gayshow
1654,ɡejbi,gaybee
1655,ɡejbej,gaybaye
1656,ɡejbow,gaybow
1657,ɡejdi,gaydee
1658,ɡejdej,gaydaye
1659,ɡejdow,gaydow
1660,ɡejɡi,gayggee
1661,ɡejɡej,gaygaye
1662,ɡejɡow,gaygow
1663,ɡejpi,gaypee
1664,ɡejpej,gaypaye
1665,ɡejpow,gaypow
1666,ɡejti,gaytee
1667,ɡejtej,gaytaye
1668,ɡejtow,gaytow
1669,ɡejki,gaykee
1670,ɡejkej,gaykaye
1671,ɡejkow,gayko
1672,ɡɑli,gahlee
1673,ɡɑlej,gahlaye
1674,ɡɑlow,gahlow
1675,ɡɑmi,gahmee
1676,ɡɑmej,gahmaye
1677,ɡɑmow,gahmow
1678,ɡɑni,gahnee
1679,ɡɑnej,gahnaye
1680,ɡɑvi,gahvee
1681,ɡɑvej,gahvaye
1682,ɡɑvow,gahvow
1683,ɡɑði,gahthey
1684,ɡɑðej,gah-they
1685,ɡɑðow,gah-though
1686,ɡɑzi,gahzee
1687,ɡɑzej,gahzaye
1688,ɡɑzow,gahzow
1689,ɡɑfi,gahfee
1690,ɡɑfej,gahfaye
1691,ɡɑfow,gahfow
1692,ɡɑsi,gahsee
1693,ɡɑsej,gahsaye
1694,ɡɑsow,gahsow
1695,ɡɑʃi,gahshee
1696,ɡɑʃej,gahshaye
1697,ɡɑʃow,gahshow
1698,ɡɑbi,gahbee
1699,ɡɑbej,gahbaye
1700,ɡɑbow,gahbow
1701,ɡɑdi,gahdee
1702,ɡɑdej,gahdaye
1703,ɡɑɡi,gahggee
1704,ɡɑɡej,gahgaye
1705,ɡɑɡow,gahgow
1706,ɡɑpi,gahpee
1707,ɡɑpej,gahpaye
1708,ɡɑpow,gahpow
1709,ɡɑtej,gahtaye
1710,ɡɑki,gahkee
1711,ɡɑkej,gahkaye
1712,ɡɑkow,gahko
1713,ɡowli,goelee
1714,ɡowlej,goelaye
1715,ɡowlow,goelow
1716,ɡowmi,goemee
1717,ɡowmej,goemaye
1718,ɡowmow,goemow
1719,ɡowni,goanee
1720,ɡownej,goanaye
1721,ɡownow,goanow
1722,ɡowvi,goevee
1723,ɡowvej,goevaye
1724,ɡowvow,goevow
1725,ɡowði,goethey
1726,ɡowðej,goe-they
1727,ɡowðow,goe-though
1728,ɡowzi,goezee
1729,ɡowzej,goezaye
1730,ɡowfi,goefee
1731,ɡowfej,goefaye
1732,ɡowfow,goefow
1733,ɡowsi,goesee
1734,ɡowsej,goesaye
1735,ɡowsow,goesow
1736,ɡowʃi,goeshee
1737,ɡowʃej,goeshaye
1738,ɡowʃow,goeshow
1739,ɡowbej,goebaye
1740,ɡowbow,goebow
1741,ɡowdi,goedee
1742,ɡowdej,goedaye
1743,ɡowdow,goedow
1744,ɡowɡi,goeggee
1745,ɡowɡej,goegaye
1746,ɡowpej,goepaye
1747,ɡowpow,goepow
1748,ɡowtej,goetaye
1749,ɡowkej,goekaye
1750,ɡowkow,goeko
1751,pili,peelee
1752,pilej,peelaye
1753,pilow,peelow
1754,pimi,peemee
1755,pimej,peemaye
1756,pimow,peemow
1757,pinej,peenaye
1758,pivej,peevaye
1759,pivow,peevow
1760,piði,peethey
1761,piðej,pee-they
1762,piðow,pee-though
1763,pizej,peezaye
1764,pifi,peefee
1765,pifej,peefaye
1766,pisej,peesaye
1767,pisow,peesow
1768,piʃi,peeshee
1769,piʃej,peeshaye
1770,piʃow,peeshow
1771,pibi,peebee
1772,pibej,peebaye
1773,pibow,peebow
1774,pidi,peedee
1775,pidej,peedaye
1776,pidow,peedow
1777,piɡej,peegaye
1778,piɡow,peegow
1779,pipej,peepaye
1780,pipow,peepow
1781,pitej,peetaye
1782,pikej,peekaye
1783,pejli,paylee
1784,pejlej,paylaye
1785,pejlow,paylow
1786,pejmi,paymee
1787,pejmej,paymaye
1788,pejmow,paymow
1789,pejni,paynee
1790,pejnej,paynaye
1791,pejnow,paynow
1792,pejvi,payvee
1793,pejvej,payvaye
1794,pejvow,payvow
1795,pejði,paythey
1796,pejðej,pay-they
1797,pejðow,pay-though
1798,pejzi,payzee
1799,pejzej,payzaye
1800,pejzow,payzow
1801,pejfi,payfee
1802,pejfej,payfaye
1803,pejfow,payfow
1804,pejsi,paysee
1805,pejsej,paysaye
1806,pejsow,paysow
1807,pejʃi,payshee
1808,pejʃej,payshaye
1809,pejʃow,payshow
1810,pejbi,paybee
1811,pejbej,paybaye
1812,pejbow,paybow
1813,pejdi,paydee
1814,pejdej,paydaye
1815,pejdow,paydow
1816,pejɡi,payggee
1817,pejɡej,paygaye
1818,pejɡow,paygow
1819,pejpi,paypee
1820,pejpej,paypaye
1821,pejpow,paypow
1822,pejti,paytee
1823,pejtej,paytaye
1824,pejtow,paytow
1825,pejki,paykee
1826,pejkej,paykaye
1827,pejkow,payko
1828,pɑli,pahlee
1829,pɑlej,pahlaye
1830,pɑlow,pahlow
1831,pɑmi,pahmee
1832,pɑmej,pahmaye
1833,pɑmow,pahmow
1834,pɑni,pahnee
1835,pɑnej,pahnaye
1836,pɑnow,pahnow
1837,pɑvi,pahvee
1838,pɑvej,pahvaye
1839,pɑði,pahthey
1840,pɑðej,pah-they
1841,pɑðow,pah-though
1842,pɑzej,pahzaye
1843,pɑzow,pahzow
1844,pɑfi,pahfee
1845,pɑfej,pahfaye
1846,pɑfow,pahfow
1847,pɑsej,pahsaye
1848,pɑsow,pahsow
1849,pɑʃi,pahshee
1850,pɑʃej,pahshaye
1851,pɑʃow,pahshow
1852,pɑbi,pahbee
1853,pɑbej,pahbaye
1854,pɑbow,pahbow
1855,pɑdi,pahdee
1856,pɑdej,pahdaye
1857,pɑdow,pahdow
1858,pɑɡi,pahggee
1859,pɑɡej,pahgaye
1860,pɑɡow,pahgow
1861,pɑpej,pahpaye
1862,pɑpow,pahpow
1863,pɑtej,pahtaye
1864,pɑtow,pahtow
1865,pɑki,pahkee
1866,pɑkej,pahkaye
1867,pɑkow,pahko
1868,powli,poelee
1869,powlej,poelaye
1870,powlow,poelow
1871,powmi,poemee
1872,powmej,poemaye
1873,powmow,poemow
1874,pownej,poanaye
1875,pownow,poanow
1876,powvi,poevee
1877,powvej,poevaye
1878,powvow,poevow
1879,powði,poethey
1880,powðej,poe-they
1881,powðow,poe-though
1882,powzej,poezaye
1883,powfi,poefee
1884,powfej,poefaye
1885,powfow,poefow
1886,powsi,poesee
1887,powsej,poesaye
1888,powsow,poesow
1889,powʃi,poeshee
1890,powʃej,poeshaye
1891,powʃow,poeshow
1892,powbi,poebee
1893,powbej,poebaye
1894,powbow,poebow
1895,powdej,poedaye
1896,powdow,poedow
1897,powɡi,poeggee
1898,powɡej,poegaye
1899,powpi,poepee
1900,powpej,poepaye
1901,powpow,poepow
1902,powti,poetee
1903,powtej,poetaye
1904,powtow,poetow
1905,powkej,poekaye
1906,tili,teelee
1907,tilej,teelaye
1908,tilow,teelow
1909,timej,teemaye
1910,timow,teemow
1911,tinej,teenaye
1912,tivej,teevaye
1913,tiði,teethey
1914,tiðej,tee-they
1915,tiðow,tee-though
1916,tizej,teezaye
1917,tizow,teezow
1918,tifi,teefee
1919,tifej,teefaye
1920,tifow,teefow
1921,tisi,teesee
1922,tisej,teesaye
1923,tisow,teesow
1924,tiʃi,teeshee
1925,tiʃej,teeshaye
1926,tiʃow,teeshow
1927,tibej,teebaye
1928,tidi,teedee
1929,tidej,teedaye
1930,tidow,teedow
1931,tiɡi,teeggee
1932,tiɡej,teegaye
1933,tiɡow,teegow
1934,tipej,teepaye
1935,titi,teetee
1936,titej,teetaye
1937,tikej,teekaye
1938,tejli,taylee
1939,tejlej,taylaye
1940,tejlow,taylow
1941,tejmi,taymee
1942,tejmej,taymaye
1943,tejmow,taymow
1944,tejni,taynee
1945,tejnej,taynaye
1946,tejnow,taynow
1947,tejvi,tayvee
1948,tejvej,tayvaye
1949,tejvow,tayvow
1950,tejði,taythey
1951,tejðej,tay-they
1952,tejðow,tay-though
1953,tejzi,tayzee
1954,tejzej,tayzaye
1955,tejzow,tayzow
1956,tejfi,tayfee
1957,tejfej,tayfaye
1958,tejfow,tayfow
1959,tejsi,taysee
1960,tejsej,taysaye
1961,tejsow,taysow
1962,tejʃi,tayshee
1963,tejʃej,tayshaye
1964,tejʃow,tayshow
1965,tejbi,taybee
1966,tejbej,taybaye
1967,tejbow,taybow
1968,tejdi,taydee
1969,tejdej,taydaye
1970,tejdow,taydow
1971,tejɡi,tayggee
1972,tejɡej,taygaye
1973,tejɡow,taygow
1974,tejpi,taypee
1975,tejpej,taypaye
1976,tejpow,taypow
1977,tejti,taytee
1978,tejtej,taytaye
1979,tejtow,taytow
1980,tejki,taykee
1981,tejkej,taykaye
1982,tejkow,tayko
1983,tɑli,tahlee
1984,tɑlej,tahlaye
1985,tɑlow,tahlow
1986,tɑmej,tahmaye
1987,tɑmow,tahmow
1988,tɑnej,tahnaye
1989,tɑnow,tahnow
1990,tɑvi,tahvee
1991,tɑvej,tahvaye
1992,tɑvow,tahvow
1993,tɑði,tahthey
1994,tɑðej,tah-they
1995,tɑðow,tah-though
1996,tɑzej,tahzaye
1997,tɑzow,tahzow
1998,tɑfej,tahfaye
1999,tɑfow,tahfow
2000,tɑsi,tahsee
2001,tɑsej,tahsaye
2002,tɑsow,tahsow
2003,tɑʃi,tahshee
2004,tɑʃej,tahshaye
2005,tɑʃow,tahshow
2006,tɑbi,tahbee
2007,tɑbej,tahbaye
2008,tɑbow,tahbow
2009,tɑdi,tahdee
2010,tɑdej,tahdaye
2011,tɑdow,tahdow
2012,tɑɡi,tahggee
2013,tɑɡej,tahgaye
2014,tɑɡow,tahgow
2015,tɑpi,tahpee
2016,tɑpej,tahpaye
2017,tɑpow,tahpow
2018,tɑtej,tahtaye
2019,tɑtow,tahtow
2020,tɑki,tahkee
2021,tɑkej,tahkaye
2022,towli,toelee
2023,towlej,toelaye
2024,towlow,toelow
2025,towmej,toemaye
2026,towmow,toemow
2027,townej,toanaye
2028,townow,toanow
2029,towvej,toevaye
2030,towvow,toevow
2031,towði,toethey
2032,towðej,toe-they
2033,towðow,toe-though
2034,towzi,toezee
2035,towzej,toezaye
2036,towzow,toezow
2037,towfi,toefee
2038,towfej,toefaye
2039,towfow,toefow
2040,towsej,toesaye
2041,towʃi,toeshee
2042,towʃej,toeshaye
2043,towʃow,toeshow
2044,towbej,toebaye
2045,towbow,toebow
2046,towdi,toedee
2047,towdej,toedaye
2048,towdow,toedow
2049,towɡi,toeggee
2050,towɡej,toegaye
2051,towpi,toepee
2052,towpej,toepaye
2053,towpow,toepow
2054,towtej,toetaye
2055,towki,toekee
2056,towkej,toekaye
2057,towkow,toeko
2058,kili,keelee
2059,kilej,keelaye
2060,kilow,keelow
2061,kimej,keemaye
2062,kinej,keenaye
2063,kivej,keevaye
2064,kivow,keevow
2065,kiði,keethey
2066,kiðej,kee-they
2067,kiðow,kee-though
2068,kizi,keezee
2069,kizej,keezaye
2070,kizow,keezow
2071,kifi,keefee
2072,kifej,keefaye
2073,kisej,keesaye
2074,kiʃej,keeshaye
2075,kiʃow,keeshow
2076,kibej,keebaye
2077,kibow,keebow
2078,kidej,keedaye
2079,kiɡi,keeggee
2080,kiɡej,keegaye
2081,kiɡow,keegow
2082,kipi,keepee
2083,kipej,keepaye
2084,kipow,keepow
2085,kitej,keetaye
2086,kikej,keekaye
2087,kikow,keeko
2088,kejli,kaylee
2089,kejlej,kaylaye
2090,kejlow,kaylow
2091,kejmi,kaymee
2092,kejmej,kaymaye
2093,kejmow,kaymow
2094,kejni,kaynee
2095,kejnej,kaynaye
2096,kejnow,kaynow
2097,kejvi,kayvee
2098,kejvej,kayvaye
2099,kejvow,kayvow
2100,kejði,kaythey
2101,kejðej,kay-they
2102,kejðow,kay-though
2103,kejzi,kayzee
2104,kejzej,kayzaye
2105,kejzow,kayzow
2106,kejfi,kayfee
2107,kejfej,kayfaye
2108,kejfow,kayfow
2109,kejsi,kaysee
2110,kejsej,kaysaye
2111,kejsow,kaysow
2112,kejʃi,kayshee
2113,kejʃej,kayshaye
2114,kejʃow,kayshow
2115,kejbi,kaybee
2116,kejbej,kaybaye
2117,kejbow,kaybow
2118,kejdi,kaydee
2119,kejdej,kaydaye
2120,kejdow,kaydow
2121,kejɡi,kayggee
2122,kejɡej,kaygaye
2123,kejɡow,kaygow
2124,kejpi,kaypee
2125,kejpej,kaypaye
2126,kejpow,kaypow
2127,kejti,kaytee
2128,kejtej,kaytaye
2129,kejtow,kaytow
2130,kejki,kaykee
2131,kejkej,kaykaye
2132,kejkow,kayko
2133,kɑli,kahlee
2134,kɑlej,kahlaye
2135,kɑlow,kahlow
2136,kɑmej,kahmaye
2137,kɑmow,kahmow
2138,kɑnej,kahnaye
2139,kɑvi,kahvee
2140,kɑvej,kahvaye
2141,kɑvow,kahvow
2142,kɑði,kahthey
2143,kɑðej,kah-they
2144,kɑðow,kah-though
2145,kɑzej,kahzaye
2146,kɑzow,kahzow
2147,kɑfej,kahfaye
2148,kɑfow,kahfow
2149,kɑsej,kahsaye
2150,kɑʃi,kahshee
2151,kɑʃej,kahshaye
2152,kɑʃow,kahshow
2153,kɑbej,kahbaye
2154,kɑbow,kahbow
2155,kɑdi,kahdee
2156,kɑdej,kahdaye
2157,kɑɡi,kahggee
2158,kɑɡej,kahgaye
2159,kɑɡow,kahgow
2160,kɑpej,kahpaye
2161,kɑtej,kahtaye
2162,kɑtow,kahtow
2163,kɑkej,kahkaye
2164,kɑkow,kahko
2165,kowli,koelee
2166,kowlej,koelaye
2167,kowlow,koelow
2168,kowmej,koemaye
2169,kownej,koanaye
2170,kowvi,koevee
2171,kowvej,koevaye
2172,kowvow,koevow
2173,kowði,koethey
2174,kowðej,koe-they
2175,kowðow,koe-though
2176,kowzej,koezaye
2177,kowfej,koefaye
2178,kowfow,koefow
2179,kowsej,koesaye
2180,kowsow,koesow
2181,kowʃi,koeshee
2182,kowʃej,koeshaye
2183,kowʃow,koeshow
