Entry,Definition,ref
gothele,"To make a low rumbling noise, as bubbles rising through water, or as is heard in the bowels.",Rhyme Over Reason : Phonological Motivation in English
granch,Of the teeth: To gnash.,Rhyme Over Reason : Phonological Motivation in English
grash,"To strike together or ‘grind’ the teeth, esp. from rage or anguish.",Rhyme Over Reason : Phonological Motivation in English
grassil,"To make a harsh noise; to creak, rattle, to make a harsh noise with (the teeth or tusks), to gnash.",Rhyme Over Reason : Phonological Motivation in English
graunch,To make a crunching or grinding sound.,Rhyme Over Reason : Phonological Motivation in English
grent,To gnash the teeth.,Rhyme Over Reason : Phonological Motivation in English
grinch,To make a harsh grating noise.,Rhyme Over Reason : Phonological Motivation in English
grint,To grind or gnash the teeth.,Rhyme Over Reason : Phonological Motivation in English
grolling,Rumbling.,Rhyme Over Reason : Phonological Motivation in English
grouze,To devour or munch with a crunching sound.,Rhyme Over Reason : Phonological Motivation in English
growl,Of the bowels: to rumble.,Rhyme Over Reason : Phonological Motivation in English
grump,"Humps, slights and snubs.",Rhyme Over Reason : Phonological Motivation in English
grumph,To grunt; said both of animals and human beings.,Rhyme Over Reason : Phonological Motivation in English
grundy,,
gubble,To make the sound rendered by ‘gub’: a verb formed to imitate an inarticulate sound.,Rhyme Over Reason : Phonological Motivation in English
guddle,To gargle.,Rhyme Over Reason : Phonological Motivation in English
guff,"A puff, whiff.",Rhyme Over Reason : Phonological Motivation in English
guffaw,A burst of coarse laughter; a loud or boisterous laugh.,Rhyme Over Reason : Phonological Motivation in English
gugg,"To wound, gall.",Rhyme Over Reason : Phonological Motivation in English
guggle,To make a sound like that made by liquid pouring from a small-necked bottle.,Rhyme Over Reason : Phonological Motivation in English
guidguid,,
guit-guit,"A name, presumably in imitation of the cry of a bird.",Rhyme Over Reason : Phonological Motivation in English
gulch,To swallow or devour greedily.,Rhyme Over Reason : Phonological Motivation in English
gulp,To swallow in large draughts or morsels hastily or with greediness.,Rhyme Over Reason : Phonological Motivation in English
gurk,To belch.,Rhyme Over Reason : Phonological Motivation in English
gurl,"To rumble, growl; (of the wind) to roar, howl.",Rhyme Over Reason : Phonological Motivation in English
gurr,"A growl, snarl.",Rhyme Over Reason : Phonological Motivation in English
hackee,,
hadada(h),,
hallali,A bugle call.,Rhyme Over Reason : Phonological Motivation in English
hap,,
harr,To snarl as a dog; to make a rough guttural trill.,Rhyme Over Reason : Phonological Motivation in English
harrumph,A guttural sound made by clearing the throat.,Rhyme Over Reason : Phonological Motivation in English
hau-hau,To utter the cry of a hyena.,Rhyme Over Reason : Phonological Motivation in English
haunk-haunk,The cry of a hyena.,Rhyme Over Reason : Phonological Motivation in English
haw,An utterance marking hesitation.,Rhyme Over Reason : Phonological Motivation in English
haw-haw,An expression of hesitation uttered repeatedly in an affected tone.,Rhyme Over Reason : Phonological Motivation in English
heck,To cough slightly; to imitate the noise of a cough.,Rhyme Over Reason : Phonological Motivation in English
hee-haw,A conventional representation of the bray of a jackass.,Rhyme Over Reason : Phonological Motivation in English
hish,"The rushing or whishing noise made by a scythe cutting grass, etc.",Rhyme Over Reason : Phonological Motivation in English
hish,"To make the sharp spirant sound emitted by certain animals, as geese and serpents, or caused (e.g.) by the escape of steam through a narrow aperture, or uttered in the pronunciation of ’s’.",Rhyme Over Reason : Phonological Motivation in English
hiss,"To make the sharp spirant sound emitted by certain animals, as geese and serpents, or caused (e.g.) by the escape of steam through a narrow aperture, or uttered in the pronunciation of ’s’.",Rhyme Over Reason : Phonological Motivation in English
hist,"Used to enjoin silence, attract attention, or call on a person to listen.",Rhyme Over Reason : Phonological Motivation in English
hiz,To make a sound of hissing or as of a body rushing through the air.,Rhyme Over Reason : Phonological Motivation in English
hod,To bob up and down in riding; to jog.,Rhyme Over Reason : Phonological Motivation in English
honk,Of the driver of a car or other motor vehicle: to sound its horn.,Oxford English Dictionary
honk,Of a wild goose or (occasionally) other bird: to make its characteristic harsh cry.,Rhyme Over Reason : Phonological Motivation in English
honky-tonk,"a style of ragtime piano music having a melody embellished by chords and syncopated rhythms, and typically played on a piano which has been modified to give a tinny or jangly sound.",Oxford English Dictionary
hooshtah,"A shout of encouragement, to a camel.",Rhyme Over Reason : Phonological Motivation in English
hoss,To make the humming sibilant sound characteristic of bees and other insects.,Oxford English Dictionary
hough,To clear the throat.,Rhyme Over Reason : Phonological Motivation in English
hub a dub,The noise made by the beating of a drum.,Rhyme Over Reason : Phonological Motivation in English
huh-uh,An expression of negation.,Rhyme Over Reason : Phonological Motivation in English
hurr,To make or utter a dull sound of vibration or trilling; to buzz as an insect; to snarl as a dog; to pronounce a trilled r.,Rhyme Over Reason : Phonological Motivation in English
hush,The sound made by water flowing swiftly but smoothly.,Rhyme Over Reason : Phonological Motivation in English
hush,"To make silent, still, or quiet; to impose silence upon; to silence, quiet.",Oxford English Dictionary
huss,To make the humming sibilant sound characteristic of bees and other insects.,Oxford English Dictionary
hustling,To push or knock (a person) about roughly or unceremoniously; to jostle in a rough or violent fashion.,Oxford English Dictionary
huzz,To make the humming sibilant sound characteristic of bees and other insects.,Oxford English Dictionary
iddy-umpty,The Morse code; a dot followed by a dash in Morse code.,Rhyme Over Reason : Phonological Motivation in English
ish,To make the sound sh! as in striking the air forcibly.,Rhyme Over Reason : Phonological Motivation in English
jabber,To talk rapidly and indistinctly or unintelligibly; to speak volubly and with little sense; to prattle.,Rhyme Over Reason : Phonological Motivation in English
javer,To talk rapidly and indistinctly or unintelligibly; to speak volubly and with little sense; to prattle.,Rhyme Over Reason : Phonological Motivation in English
jabble,"To shake or mix up together; to shake up or agitate (a liquid), to cause to splash.",Rhyme Over Reason : Phonological Motivation in English
jack-bird,,
jam,"To press or squeeze (an object) tightly between two converging bodies or surfaces; to wedge or fix immovably in an opening, either by forcing the object in, or by the narrowing or closing in of the sides.",Rhyme Over Reason : Phonological Motivation in English
jar,To make or emit a harsh grating sound; to make a musical discord; to sound harshly or in discord with other sounds.,Rhyme Over Reason : Phonological Motivation in English
jarg,"Of a door or gate: To make a creaking noise, to grate, jar, vibrate.",Rhyme Over Reason : Phonological Motivation in English
jasch,The dash of a wave.,Rhyme Over Reason : Phonological Motivation in English
jaup,To dash and rebound like water with splashing of the vicinity; to move with splashing; to splash; to make a light splashing sound.,Rhyme Over Reason : Phonological Motivation in English
jawp,To dash and rebound like water with splashing of the vicinity; to move with splashing; to splash; to make a light splashing sound.,Rhyme Over Reason : Phonological Motivation in English
jing,"A sharp ring, a jingle.",Rhyme Over Reason : Phonological Motivation in English
jingle,"To give forth a mingling of ringing sounds, as by the striking together of coins, keys, or other small metallic objects; it expresses a more prolonged and continuous sound than clink, and a more complicated one than tinkle.",Rhyme Over Reason : Phonological Motivation in English
jink,To move with quick sudden action; to move or dart with sudden turns; to move jerkily to and fro.,Rhyme Over Reason : Phonological Motivation in English
jirble,"To spill (a liquid) by shaking or unsteady moving of the vessel; to pour out unsteadily; hence, to pour (liquid) from vessel to vessel.",Rhyme Over Reason : Phonological Motivation in English
job,"Of a bird: to peck. More generally: to penetrate into, to stab, pierce, or prod at.",Rhyme Over Reason : Phonological Motivation in English
jobble,An agitated movement of water.,Rhyme Over Reason : Phonological Motivation in English
jopper,To jolter or jolt.,Rhyme Over Reason : Phonological Motivation in English
joree,,
jot,"To jog, jolt, bump.",Rhyme Over Reason : Phonological Motivation in English
jower,To growl; to scold; to mutter or grumble in an undertone.,Rhyme Over Reason : Phonological Motivation in English
jub,"A thrust or knock with something blunt, a jog; the jog of a trotting horse.",Rhyme Over Reason : Phonological Motivation in English
juck,"To make a sound or call imitated by this word, as a partridge.",Rhyme Over Reason : Phonological Motivation in English
juke,"To make a sound or call imitated by this word, as a partridge.",Rhyme Over Reason : Phonological Motivation in English
jug,,
jur,"To butt with (or as with) the horns or head. Said of a ram, a battering-ram, etc.",Rhyme Over Reason : Phonological Motivation in English
jut,"To strike, knock, or push against something.",Rhyme Over Reason : Phonological Motivation in English
kaak,Of a crow: to make its characteristic harsh sound.,Rhyme Over Reason : Phonological Motivation in English
kae,,
katydid,,
keak,To cackle.,Rhyme Over Reason : Phonological Motivation in English
keck,To make a sound as if about to vomit; to retch; to feel an vomit; to retch; to feel an inclination to vomit.,Rhyme Over Reason : Phonological Motivation in English
keelie,,
kewt,Of a cat (occasionally of other animals): to make its characteristic cry; to utter a mew.,Rhyme Over Reason : Phonological Motivation in English
kill-cu,,
killdee,,
killdeer,,
kiskadee,,
ki-yi,"To howl or yelp as a dog, or utter a sound compared to this.",Rhyme Over Reason : Phonological Motivation in English
kling-kling,,
klop,The sound of the impact of something solid on a hard surface.,Rhyme Over Reason : Phonological Motivation in English
knal,"A stroke, knock, esp. on the head.",Rhyme Over Reason : Phonological Motivation in English
knap,"To strike with a hard short sound; to knack, knock, rap.",Rhyme Over Reason : Phonological Motivation in English
knickety-knock,An echoic word imitating an alternation of knocking sounds; hence adverbially: striking from side to side with alternation of sound.,Rhyme Over Reason : Phonological Motivation in English
knoll,"An act, or the action, of ringing or tolling a bell; the sound of a large bell.",Oxford English Dictionary
kyoodle,"To make a loud noise; to bark, to yap.",Rhyme Over Reason : Phonological Motivation in English
lab,"To speak indiscreetly; to blab, to gossip.",Oxford English Dictionary
la-di-da,A derisive term for one who affects gentility; a ‘swell’.,Rhyme Over Reason : Phonological Motivation in English
laldy,"A beating, a thrashing; punishment.",Rhyme Over Reason : Phonological Motivation in English
lall,"To say ‘lal, lal’; to speak childishly.",Rhyme Over Reason : Phonological Motivation in English
lamp,To go quickly by taking long steps.,Rhyme Over Reason : Phonological Motivation in English
lantum,,
lash,To move swiftly and suddenly.,Rhyme Over Reason : Phonological Motivation in English
lill,To loll or hang (the tongue) out (rarely forth).,Rhyme Over Reason : Phonological Motivation in English
lob,To move heavily or clumsily; to walk along with a slow lumbering movement.,Oxford English Dictionary
loblolly,,
log,"To rock, move to and fro.",Rhyme Over Reason : Phonological Motivation in English
logger,To hang loosely and largely.,Rhyme Over Reason : Phonological Motivation in English
lop,A state of the sea in which the waves are short and lumpy.,Rhyme Over Reason : Phonological Motivation in English
lop,To hang loosely or limply; to droop; to flop or sway limply about.,Rhyme Over Reason : Phonological Motivation in English
losh,To fall with a splash; to go stumbling.,Rhyme Over Reason : Phonological Motivation in English
lounder,"A heavy, swingeing blow.",Rhyme Over Reason : Phonological Motivation in English
loune,To utter the cry of the crane.,Rhyme Over Reason : Phonological Motivation in English
lout,To low or bellow.,Rhyme Over Reason : Phonological Motivation in English
lull,To soothe with sounds or caresses; to induce to sleep or to pleasing quiescence.,Rhyme Over Reason : Phonological Motivation in English
lulla,To soothe with a lullaby; to sing to sleep.,Rhyme Over Reason : Phonological Motivation in English
lulliloo,To utter the cries by which certain African peoples express delight.,Rhyme Over Reason : Phonological Motivation in English
lunch,The sound made by the fall of a soft heavy body.,Rhyme Over Reason : Phonological Motivation in English
maa,Of a sheep or lamb: to utter its distinctive cry; to bleat.,Rhyme Over Reason : Phonological Motivation in English
maule,To cry like a cat; to mew.,Rhyme Over Reason : Phonological Motivation in English
meep,"A short, high-pitched sound.",Rhyme Over Reason : Phonological Motivation in English
mew,Of a cat (occasionally of other animals): to make its characteristic cry; to utter a mew.,Rhyme Over Reason : Phonological Motivation in English
mewt,Of a cat (occasionally of other animals): to make its characteristic cry; to utter a mew.,Rhyme Over Reason : Phonological Motivation in English
mewl,"Esp. of an infant: to cry feebly, to whimper; to make a whining noise.",Rhyme Over Reason : Phonological Motivation in English
miaow,Of a cat: to make its characteristic cry.,Rhyme Over Reason : Phonological Motivation in English
miff,"A fit of pique, a huff; a petty quarrel, a tiff.",Rhyme Over Reason : Phonological Motivation in English
mim,"Reserved or restrained inmanner or behaviour, esp. in a contrived or priggish way; affectedly modest, demure; primly silent, quiet; affectedly moderate or abstemious in diet (rare).",Rhyme Over Reason : Phonological Motivation in English
mimp,"A prim, or affectedly modest or demure, woman.",Rhyme Over Reason : Phonological Motivation in English
mm,"Expressing satisfaction, approval, or assent.",Rhyme Over Reason : Phonological Motivation in English
moo,The lowing sound made by a cow or other bovine animal; an imitation of this.,Rhyme Over Reason : Phonological Motivation in English
mop,"A concluding rhythmic flourish to a piece of jazz music, announcing a surprising denouement",Rhyme Over Reason : Phonological Motivation in English
morepork,,
mph,"Expressing disapproval, doubt, or dissatisfaction.",Rhyme Over Reason : Phonological Motivation in English
mphm,"Expressing disapproval, doubt, or dissatisfaction.",Rhyme Over Reason : Phonological Motivation in English
muff,Chiefly in negative contexts: to utter a word; to speak.,Rhyme Over Reason : Phonological Motivation in English
muffle,To speak indistinctly.,Rhyme Over Reason : Phonological Motivation in English
mum,"An inarticulate sound made with closed lips, usually as an indication of inability or unwillingness to speak; (in a negative context) the slightest utterance.",Rhyme Over Reason : Phonological Motivation in English
mum,"To utter a faint sound; to speak softly or indistinctly; to whisper; to mutter, mumble.",Rhyme Over Reason : Phonological Motivation in English
mump,"A grimace, a moue; an exaggerated facial expression.",Rhyme Over Reason : Phonological Motivation in English
mump,To grimace; to form the lips into a grimace or grin; to convey a thought or meaning indirectly by one’s facial expression.,Rhyme Over Reason : Phonological Motivation in English
murr,To make a harsh noise.,Rhyme Over Reason : Phonological Motivation in English
murre,To make a harsh noise.,Oxford English Dictionary
muruk,,
mustle,"To murmur, make a noise.",Rhyme Over Reason : Phonological Motivation in English
mwah,"An exaggerated kiss, esp. one given on the cheek to a social acquaintance; an air kiss.",Rhyme Over Reason : Phonological Motivation in English
nicker,"Of a horse, donkey, etc.: to make a soft noise, as when recognizing a foal or being offered a titbit.",Rhyme Over Reason : Phonological Motivation in English
niminy-piminy,"Mincing, affected; without force, drive, or spirit.",Rhyme Over Reason : Phonological Motivation in English
nipper,"To whisper, to gossip.",Rhyme Over Reason : Phonological Motivation in English
nuh-uh,No; used esp. to rebuff or contradict.,Rhyme Over Reason : Phonological Motivation in English
num,"An exclamation of pleasurable anticipation, with implication of sensual or gustatory satisfaction.",Rhyme Over Reason : Phonological Motivation in English
nummy,"Of food: delicious, yummy, especially tasty or tempting.",Rhyme Over Reason : Phonological Motivation in English
nyaff,"Of a (small) dog: to yelp, bark. Hence, of a child or small or insignificant person: to speak in a cheeky or peevish manner; to whinge.",Rhyme Over Reason : Phonological Motivation in English
nyah,Expressing the speaker’s feeling of superiority or contempt for another.,Rhyme Over Reason : Phonological Motivation in English
oink,Representing a grunting sound made by a pig or (occasionally) a similar sound made by another creature. Also representing a human imitation of such a sound.,Rhyme Over Reason : Phonological Motivation in English
oompah,The repetitive rhythmical sound characteristic of a deep-toned brass instrument in a band; a sound or musical accompaniment resembling this.,Rhyme Over Reason : Phonological Motivation in English
oomph,"The quality of being exciting, energetic, or sexually attractive; energy, vigour.",Rhyme Over Reason : Phonological Motivation in English
ooyah,Expressing sudden pain.,Rhyme Over Reason : Phonological Motivation in English
ou,"Expressing surprise, excitement, or a similar emotion.",Rhyme Over Reason : Phonological Motivation in English
ouch,Expressing sudden physical pain.,Oxford English Dictionary
ouff,Of a dog: to bark.,Rhyme Over Reason : Phonological Motivation in English
ough,In early use: used in imitation of a sound denoting various sentiments.,Rhyme Over Reason : Phonological Motivation in English
paff,"Used to represent the sound of an impact, blow, explosion.",Rhyme Over Reason : Phonological Motivation in English
pah,Expressing disgust or disdain.,Rhyme Over Reason : Phonological Motivation in English
pamp,To pamper with food; to fatten.,Rhyme Over Reason : Phonological Motivation in English
pang,"Representing a short resonant sound, such as that produced by the striking of metal, etc.",Rhyme Over Reason : Phonological Motivation in English
pash,"To hurl or throw (something) violently, so as break it against something or smash something with it.",Rhyme Over Reason : Phonological Motivation in English
pat,Representing a patting sound; with a pat.,Rhyme Over Reason : Phonological Motivation in English
pech,"To breathe hard, as from exertion, or with difficulty; to puff, to pant; to become short of breath.",Rhyme Over Reason : Phonological Motivation in English
peeoy,A kind of home-made firework consisting of a small cone of damp gunpowder which is lighted at the top.,Rhyme Over Reason : Phonological Motivation in English
peesweep,,
peeweep,,
peewit,,
peetweet,,
petchary,,
petter,"To make a light, rapid, repetitious sound.",Rhyme Over Reason : Phonological Motivation in English
pew,"The thin cry of a bird, esp. of the kite.",Rhyme Over Reason : Phonological Motivation in English
pew,"Of a bird, esp. a kite: to cry in a plaintive manner.",Rhyme Over Reason : Phonological Motivation in English
pew,"Expressing contempt, disgust, or derision.",Rhyme Over Reason : Phonological Motivation in English
pewewe,Representing the plaintive call of some birds of prey.,Rhyme Over Reason : Phonological Motivation in English
phah,An ejaculation expressing contempt or disgust.,Rhyme Over Reason : Phonological Motivation in English
pheal,The cry of the jackal when hunting.,Rhyme Over Reason : Phonological Motivation in English
phew,The cry of the jackal when hunting.,Rhyme Over Reason : Phonological Motivation in English
phit,"Representing various sounds, esp. of a short explosive nature, as the brief rapid expulsion of air, the sound made by a rifle bullet, etc.",Rhyme Over Reason : Phonological Motivation in English
pho,Expressing contemptuous rejection or dismissal.,Rhyme Over Reason : Phonological Motivation in English
phoo,"Expressing contemptuous rejection, cursory dismissal (of a proposition, idea, etc.), disagreement, or reproach.",Rhyme Over Reason : Phonological Motivation in English
phu,"A brief plosive sound, such as the noise made by the escape of a small quantity of air under pressure, or by the passage of a bullet, or the sound of a small muffled explosion.",Rhyme Over Reason : Phonological Motivation in English
phwoar,"As an enthusiastic expression of desire, approval, or excitement, esp. in regard to sexual attractiveness.",Rhyme Over Reason : Phonological Motivation in English
piff,"To blow, play (on a flute).",Rhyme Over Reason : Phonological Motivation in English
piff,"Representing the sound of a short, abrupt displacement or passage of air as caused by the flight of a bullet, a small explosion, etc.",Rhyme Over Reason : Phonological Motivation in English
piffle,"To talk or behave in an ineffectual way; to talk nonsense, to witter; to dither or fiddle.",Rhyme Over Reason : Phonological Motivation in English
pimlico,,
pinchem,,
pinc-pinc,,
ping,"Representing a short, resonant, high-pitched (usually metallic) sound, as that made by the firing of a bullet, the ringing of a small bell, etc.",Rhyme Over Reason : Phonological Motivation in English
pinge,"Representing a short, resonant, high-pitched (usually metallic) sound, as that made by the firing of a bullet, the ringing of a small bell, etc.",Rhyme Over Reason : Phonological Motivation in English
ping-pong,The game of table tennis.,Rhyme Over Reason : Phonological Motivation in English
ping-pong,Also more fully ping-pong drum. A drum which supplies the melody in a Caribbean steel band; a tenor pan.,Rhyme Over Reason : Phonological Motivation in English
pink,Something which makes a short sharp noise.,Rhyme Over Reason : Phonological Motivation in English
pink,"To trickle, to drip; to make a tinkling sound while dripping.",Rhyme Over Reason : Phonological Motivation in English
pip,"A short, high-pitched electronic tone used as a signal.",Rhyme Over Reason : Phonological Motivation in English
pip,To toot or beep (a person) with the horn of a vehicle; to sound (a horn).,Rhyme Over Reason : Phonological Motivation in English
pipit,,
pip-pip,"Imitating a repeated, short, high-pitched sound, esp. one made by a car or bicycle horn.",Rhyme Over Reason : Phonological Motivation in English
pip-pop,Imitating the sound of gun fire.,Rhyme Over Reason : Phonological Motivation in English
piramidig,,
pirn,,
pirrie,"A sudden, strong blast of wind; a squall; a storm.",Rhyme Over Reason : Phonological Motivation in English
pish,"Expressing contempt, impatience, or disgust.",Rhyme Over Reason : Phonological Motivation in English
pist,"Used to attract attention, or to convey important or secret information.",Rhyme Over Reason : Phonological Motivation in English
pit,"Representing a sharp light sound, as of water against a windowpane.",Rhyme Over Reason : Phonological Motivation in English
pit-a-pat,"With a series of rapidly alternating or repeated light sounds, as of a quick heartbeat, footsteps, etc.",Rhyme Over Reason : Phonological Motivation in English
plap,To come down or fall with the sound of a flat impact; to make a light slapping sound.,Rhyme Over Reason : Phonological Motivation in English
plapper,"To make a gentle repetitive slapping or plopping sound, as by moving the lips, splashing water, etc.",Rhyme Over Reason : Phonological Motivation in English
plash,"The sound made when a body strikes the surface of water so as to break it up, or plunges into or through it.",Rhyme Over Reason : Phonological Motivation in English
plash,"To break the surface of, plunge into, or otherwise stir up (water or other liquid) with commotion and splashing.",Rhyme Over Reason : Phonological Motivation in English
platch,"To splash or mark with drops of water, etc.",Oxford English Dictionary
pleep,"A shrill piping cry, esp. that of a wading bird; the weak peeping cry of a young bird.",Rhyme Over Reason : Phonological Motivation in English
plink,"To cause (something) to emit a short, sharp, metallic tinkling or ringing sound.",Rhyme Over Reason : Phonological Motivation in English
plip,"Representing a small, abrupt, hollow sound, as of an object dropping into water, a bubble bursting softly, etc. ",Rhyme Over Reason : Phonological Motivation in English
plish,A splashing sound.,Rhyme Over Reason : Phonological Motivation in English
plonk,To hit or strike (someone or something) with a heavy thud.,Rhyme Over Reason : Phonological Motivation in English
plop,"To fall or move with or as with a plop, esp. when, or as if, landing in water.",Rhyme Over Reason : Phonological Motivation in English
plout,The action of plunging or submerging.,Rhyme Over Reason : Phonological Motivation in English
plout,To fall with a splash; to plunge or splash in water.,Oxford English Dictionary
pluff,"A strong puff or explosive emission of air, powder, smoke, etc., esp. from the firing of a gun.",Oxford English Dictionary
pluff,"To blow out with a puff, esp. suddenly or explosively, to blow or propel (something) from the mouth or through a tube.",Oxford English Dictionary
plump,To land with a splash; to plunge into water.,Rhyme Over Reason : Phonological Motivation in English
plump,"With an abrupt or heavy fall or drop; with a thud or a sudden impact; suddenly, unexpectedly.",Rhyme Over Reason : Phonological Motivation in English
plung,Representing the resonant sound made by a tennis racket striking a ball.,Rhyme Over Reason : Phonological Motivation in English
plunk,To place or set down heavily or suddenly.,Oxford English Dictionary
plup,A soft splashing or popping sound.,Rhyme Over Reason : Phonological Motivation in English
pob,"Representing an abrupt, heavy sound, as of an inelastic body striking a hard surface.",Rhyme Over Reason : Phonological Motivation in English
pobblebonk,"Either of two Australian frogs of the genus Limnodynastes (family Myobatrachidae) having a loud, twang-like, single-note call.",Rhyme Over Reason : Phonological Motivation in English
pock,"An abrupt percussive sound, as of a bat striking a ball, a bullet striking a wall, etc.",Rhyme Over Reason : Phonological Motivation in English
pocketa-pocketa,"Representing a series of rapidly repeated percussive sounds, such as those made by an internal combustion engine.",Rhyme Over Reason : Phonological Motivation in English
podge,To walk slowly and heavily.,Rhyme Over Reason : Phonological Motivation in English
poh,Expressing contemptuous rejection.,Rhyme Over Reason : Phonological Motivation in English
pong,"A blow, a bang; a short, resonant, low-pitched sound.",Rhyme Over Reason : Phonological Motivation in English
poof,"Expressing contempt, disgust, or distaste as conveyed by the emission of a short sharp puff of breath.",Rhyme Over Reason : Phonological Motivation in English
pooh,"Expressing impatience, contempt, disdain, etc.",Oxford English Dictionary
poop,"To produce a short blast of sound, as with a horn; to blow, toot; to make a gulping sound in drinking.",Rhyme Over Reason : Phonological Motivation in English
poorwill,,
poot,"An act of breaking wind, a fart.",Rhyme Over Reason : Phonological Motivation in English
pop,"A blow, a knock, a punch; a slight rap or tap.",Rhyme Over Reason : Phonological Motivation in English
pope,,
popple,"To flow in a tumbling manner, as water from a spring or over a pebbly surface; to tumble about, as boiling or otherwise agitated liquid; to bubble up; to ripple.",Rhyme Over Reason : Phonological Motivation in English
potoo,,
potrack,Representing the call of a guineafowl.,Rhyme Over Reason : Phonological Motivation in English
pow,"Representing the sound of a blow, punch, shot, etc.",Rhyme Over Reason : Phonological Motivation in English
pring,The sound made by a bell.,Rhyme Over Reason : Phonological Motivation in English
pring,To make a sound like a bell.,Rhyme Over Reason : Phonological Motivation in English
proo,"Used as a call to a cow or calf, or to command a horse to stop, stand still, etc.",Rhyme Over Reason : Phonological Motivation in English
prut,"An exclamation of contempt, disbelief, etc.",Rhyme Over Reason : Phonological Motivation in English
pshaw,"Expressing contempt, impatience, or disgust, or used to depreciate or dismiss some statement or notion.",Rhyme Over Reason : Phonological Motivation in English
psht,"Expressing caution, surprise, or impatience.",Rhyme Over Reason : Phonological Motivation in English
psst,"Used to attract attention or give warning, esp. surreptitiously.",Rhyme Over Reason : Phonological Motivation in English
pst,Expressing a whispered signal for silence.,Rhyme Over Reason : Phonological Motivation in English
ptish,An exclamation of contempt or disdain.,Rhyme Over Reason : Phonological Motivation in English
ptui,Representing the sound of a person spitting; (hence) expressing disgust or contempt.,Rhyme Over Reason : Phonological Motivation in English
pudge,To walk or move slowly and heavily; to trudge.,Rhyme Over Reason : Phonological Motivation in English
puff,"To blow out (air, one’s breath, smoke, etc.), esp. in a short abrupt blast or blasts.",Rhyme Over Reason : Phonological Motivation in English
puff-puff,The sound of repeated puffing by a steam engine; (esp. in children’s language) a steam locomotive or steam train.,Rhyme Over Reason : Phonological Motivation in English
punk,"To force, thrust, or propel in a specified direction.",Rhyme Over Reason : Phonological Motivation in English
pup,To make a dismissive or contemptuous sound with the lips.,Rhyme Over Reason : Phonological Motivation in English
purl,"To turn upside down, overturn, or capsize; to pitch or tumble head over heels.",Oxford English Dictionary
purl,"Of a cat: to purr. Also in later use, esp. of an engine: to make a sound resembling a cat’s purr.",Rhyme Over Reason : Phonological Motivation in English
purr,"An act of purring; the low vibrating sound made by a cat, usually when pleased or contented.",Rhyme Over Reason : Phonological Motivation in English
purr,"Of a cat or another feline animal: to make a low, continuous, vibratory sound taken to be expressive of satisfaction or pleasure.",Rhyme Over Reason : Phonological Motivation in English
purr,Used as a call to pigs or turkeys. Formerly also in extended use.,Rhyme Over Reason : Phonological Motivation in English
purre,"The dunlin (Calidris alpina) in its winter plumage, formerly thought to be a separate species.",Rhyme Over Reason : Phonological Motivation in English
push,"Expressing contempt, impatience, or disgust.",Oxford English Dictionary
put-put,"Of a device, engine, vehicle, etc.: that makes a rapid intermittent sound, esp. one characteristic of a small internal combustion engine.",Rhyme Over Reason : Phonological Motivation in English
put-put,To make a rapid intermittent sound characteristic of a small internal combustion engine.,Rhyme Over Reason : Phonological Motivation in English
putter,"To make a rapid, intermittent sound, esp. that of small internal combustion engine.",Rhyme Over Reason : Phonological Motivation in English
py hy,Representing the sound of laughter.,Rhyme Over Reason : Phonological Motivation in English
quack,A state of hoarseness or croakiness in the throat.,Rhyme Over Reason : Phonological Motivation in English
quack,Of a duck: to make its characteristic harsh sound.,Rhyme Over Reason : Phonological Motivation in English
quack,"Representing the characteristic harsh sound of a duck, or a noise resembling this.",Rhyme Over Reason : Phonological Motivation in English
quake,"Representing the characteristic harsh sound of a duck, or a noise resembling this.",Rhyme Over Reason : Phonological Motivation in English
quafer,To find (a thing) by feeling about.,Rhyme Over Reason : Phonological Motivation in English
qualm,The sound of the cry of a raven.,Rhyme Over Reason : Phonological Motivation in English
quank,Representing a harsh croaking or honking sound made by certain birds and animals.,Rhyme Over Reason : Phonological Motivation in English
quawk,"The black-crowned night heron, which has a deep, hoarse call.",Rhyme Over Reason : Phonological Motivation in English
quawk,"Of a bird or other creature, esp. a rook, crow, or domestic fowl: to utter a harsh call, to squawk.",Rhyme Over Reason : Phonological Motivation in English
queck,Representing a choking sound or a death rattle.,Rhyme Over Reason : Phonological Motivation in English
queef,"An audible release of air from the vagina, typically during or after sexual intercourse.",Rhyme Over Reason : Phonological Motivation in English
quelch,To make squelchy sounds.,Rhyme Over Reason : Phonological Motivation in English
quirk,"To grunt, croak, groan, sigh, etc.; to grumble, complain.",Rhyme Over Reason : Phonological Motivation in English
quiz,To make a whirring sound.,Rhyme Over Reason : Phonological Motivation in English
quop,"To tremble, wriggle, writhe; to throb, pulsate, palpitate.",Rhyme Over Reason : Phonological Motivation in English
raish,A harsh swish.,Rhyme Over Reason : Phonological Motivation in English
ralph,To vomit.,Rhyme Over Reason : Phonological Motivation in English
ramp,To eat greedily or noisily.,Rhyme Over Reason : Phonological Motivation in English
randan,"Riotous or disorderly behaviour; a rowdy celebration or excursion, a spree.",Rhyme Over Reason : Phonological Motivation in English
ran-tan,"To vituperate, rail against, or upbraid a person.",Rhyme Over Reason : Phonological Motivation in English
ran-tan,"Representing a loud and repetitive banging noise, esp. that made by knocking or drumming.",Rhyme Over Reason : Phonological Motivation in English
rap,"Senses relating to a blow, stroke, or loud noise.",Rhyme Over Reason : Phonological Motivation in English
